index,Rank,Probability,SOC_Code,Occupation,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Grand Total
172,178.0,0.11,53-2021,Air Traffic Controllers,250.0,,430.0,100.0,2270.0,,60.0,,,1780.0,900.0,,250.0,90.0,1350.0,640.0,140.0,450.0,210.0,290.0,,100.0,,370.0,590.0,140.0,240.0,90.0,70.0,220.0,440.0,220.0,340.0,1100.0,600.0,100.0,740.0,550.0,,400.0,120.0,50.0,180.0,,600.0,2060.0,,30.0,,1060.0,600.0,90.0,140.0,,20450.0
173,179.0,0.13,27-2031,Dancers,,,,,1110.0,240.0,,,,,,,640.0,,,,,,,240.0,,,410.0,,,,,,,1130.0,,270.0,,940.0,150.0,,310.0,,,150.0,,40.0,40.0,,110.0,760.0,220.0,,,80.0,,,,,6840.0
174,180.0,0.13,29-2033,Nuclear Medicine Technologists,350.0,40.0,290.0,180.0,1600.0,260.0,210.0,60.0,50.0,1660.0,490.0,,80.0,90.0,780.0,390.0,150.0,140.0,290.0,420.0,70.0,420.0,730.0,710.0,240.0,230.0,410.0,50.0,130.0,130.0,60.0,550.0,120.0,1260.0,530.0,,910.0,320.0,150.0,900.0,150.0,40.0,270.0,150.0,670.0,1330.0,130.0,,,750.0,380.0,150.0,310.0,,19780.0
175,181.0,0.13,15-1133,"Software Developers, Systems Software",4000.0,120.0,11430.0,1020.0,90290.0,13650.0,4790.0,,3040.0,15520.0,13660.0,,730.0,1240.0,12570.0,3540.0,2430.0,2850.0,1960.0,1180.0,310.0,15640.0,27630.0,12040.0,8990.0,850.0,4430.0,450.0,2180.0,890.0,1410.0,11390.0,1780.0,19020.0,8260.0,580.0,5650.0,2260.0,3470.0,10010.0,570.0,1110.0,2530.0,490.0,3980.0,30850.0,3890.0,880.0,30.0,24950.0,13960.0,580.0,3650.0,,408730.0
176,182.0,0.13,13-1111,Management Analysts,4590.0,670.0,10430.0,3520.0,102850.0,8830.0,8120.0,2220.0,19820.0,42770.0,22730.0,190.0,2190.0,2090.0,34280.0,10940.0,4200.0,4410.0,3490.0,3600.0,1110.0,18450.0,22540.0,,12480.0,1480.0,6510.0,690.0,2370.0,2940.0,1900.0,12720.0,2480.0,40000.0,15220.0,560.0,17430.0,4430.0,5710.0,22750.0,1280.0,2720.0,6720.0,2380.0,6350.0,35330.0,5610.0,620.0,30.0,46670.0,17110.0,1860.0,10170.0,370.0,620930.0
177,183.0,0.13,29-2051,Dietetic Technicians,120.0,,1110.0,160.0,4170.0,260.0,470.0,120.0,70.0,1140.0,840.0,,80.0,100.0,3730.0,370.0,450.0,120.0,100.0,520.0,110.0,260.0,2040.0,1060.0,350.0,240.0,590.0,70.0,190.0,100.0,80.0,470.0,100.0,940.0,280.0,410.0,670.0,700.0,140.0,2390.0,100.0,100.0,900.0,,630.0,2870.0,680.0,40.0,,680.0,540.0,360.0,270.0,,32290.0
178,184.0,0.13,19-3051,Urban and Regional Planners,360.0,190.0,740.0,90.0,6770.0,810.0,380.0,230.0,240.0,1920.0,470.0,60.0,430.0,290.0,690.0,580.0,210.0,260.0,300.0,70.0,110.0,990.0,1200.0,670.0,1050.0,180.0,280.0,260.0,230.0,210.0,180.0,450.0,370.0,1430.0,1230.0,50.0,570.0,170.0,880.0,1640.0,70.0,140.0,380.0,200.0,340.0,2130.0,320.0,180.0,,1210.0,2070.0,70.0,470.0,120.0,34940.0
179,185.0,0.13,21-1093,Social and Human Service Assistants,1250.0,1350.0,6130.0,3550.0,41130.0,2360.0,7760.0,810.0,2020.0,11730.0,6240.0,100.0,1750.0,2630.0,12780.0,6480.0,4580.0,3810.0,4020.0,3490.0,3060.0,8200.0,16760.0,9480.0,13820.0,1970.0,3960.0,1280.0,3920.0,1360.0,2050.0,20480.0,2360.0,33350.0,7470.0,1470.0,15480.0,1540.0,6130.0,19360.0,5020.0,2400.0,4730.0,910.0,2250.0,16620.0,5610.0,2480.0,60.0,6750.0,6100.0,2040.0,12600.0,860.0,365900.0
180,186.0,0.13,25-3021,Self-Enrichment Education Teachers,2200.0,360.0,3180.0,630.0,24600.0,4140.0,2830.0,350.0,330.0,13060.0,5900.0,,1230.0,620.0,10040.0,2750.0,1910.0,1050.0,1060.0,1330.0,1150.0,5090.0,9740.0,5590.0,5980.0,1300.0,3670.0,460.0,1720.0,1080.0,1400.0,9060.0,1040.0,34010.0,7320.0,450.0,6970.0,1040.0,3300.0,8880.0,490.0,960.0,2870.0,250.0,2480.0,14740.0,3640.0,650.0,,,6950.0,550.0,4190.0,390.0,224980.0
181,187.0,0.13,27-4014,Sound Engineering Technicians,30.0,,90.0,40.0,4980.0,210.0,280.0,,100.0,570.0,550.0,,,,320.0,80.0,60.0,,40.0,270.0,,290.0,300.0,130.0,140.0,,140.0,,,,,530.0,50.0,2090.0,210.0,,310.0,50.0,,210.0,40.0,,110.0,,540.0,510.0,,,,280.0,330.0,,190.0,,14070.0
182,188.0,0.14,29-1041,Optometrists,550.0,70.0,670.0,320.0,3750.0,930.0,220.0,120.0,100.0,1940.0,950.0,,200.0,240.0,2490.0,730.0,360.0,500.0,490.0,190.0,140.0,600.0,1020.0,1240.0,700.0,200.0,800.0,130.0,350.0,280.0,160.0,1060.0,190.0,2690.0,930.0,190.0,1130.0,660.0,570.0,1610.0,,180.0,500.0,120.0,640.0,2410.0,420.0,90.0,,1240.0,660.0,150.0,450.0,90.0,36420.0
183,189.0,0.14,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",180.0,160.0,340.0,,630.0,610.0,,,,100.0,90.0,,,60.0,250.0,50.0,,,190.0,,,,,50.0,370.0,,40.0,,,400.0,,,180.0,140.0,80.0,70.0,110.0,330.0,,410.0,,,,,50.0,720.0,290.0,,,,100.0,260.0,,190.0,6450.0
184,190.0,0.14,29-1071,Physician Assistants,700.0,430.0,2460.0,580.0,10090.0,2850.0,1900.0,440.0,410.0,5290.0,3770.0,,260.0,550.0,2850.0,1090.0,1090.0,1050.0,1000.0,570.0,800.0,2740.0,2620.0,4550.0,1910.0,190.0,1010.0,480.0,940.0,540.0,600.0,2350.0,710.0,12080.0,4480.0,250.0,3180.0,1440.0,1230.0,5550.0,,290.0,1250.0,520.0,1570.0,6650.0,1000.0,320.0,,2450.0,2330.0,730.0,1740.0,220.0,104100.0
185,191.0,0.15,25-2012,"Kindergarten Teachers, Except Special Education",1200.0,1000.0,3230.0,1700.0,16280.0,3840.0,1610.0,440.0,60.0,11490.0,6360.0,90.0,100.0,370.0,4030.0,2460.0,980.0,1410.0,2540.0,2550.0,920.0,2310.0,2960.0,2330.0,3230.0,1130.0,1890.0,420.0,1030.0,1260.0,440.0,5190.0,1160.0,7400.0,3690.0,510.0,6150.0,2400.0,1120.0,5000.0,130.0,540.0,2550.0,650.0,3150.0,15490.0,660.0,380.0,,4790.0,7680.0,1040.0,1670.0,490.0,151500.0
186,192.0,0.15,47-2111,Electricians,9050.0,1830.0,10800.0,5620.0,60620.0,16170.0,6800.0,1800.0,1110.0,35080.0,16820.0,490.0,3890.0,3660.0,20330.0,14560.0,8000.0,5680.0,8130.0,10950.0,1950.0,12850.0,15320.0,20370.0,10590.0,5860.0,10400.0,2090.0,4980.0,6370.0,2070.0,15140.0,3720.0,40300.0,14080.0,3920.0,22650.0,6280.0,7480.0,21850.0,1430.0,2040.0,7520.0,2050.0,10800.0,57540.0,8510.0,1140.0,100.0,16680.0,15160.0,3590.0,10430.0,2480.0,609130.0
187,193.0,0.16,17-2171,Petroleum Engineers,130.0,790.0,40.0,90.0,2310.0,1680.0,,,,,60.0,,,,190.0,,,140.0,,1880.0,,,,130.0,,,40.0,250.0,,,,,230.0,,,110.0,370.0,2830.0,,970.0,,,,,,17780.0,220.0,,,300.0,160.0,270.0,,540.0,31510.0
188,194.0,0.16,43-9031,Desktop Publishers,80.0,,130.0,,1670.0,220.0,90.0,,70.0,410.0,370.0,,,,1030.0,290.0,190.0,250.0,50.0,240.0,150.0,490.0,490.0,560.0,370.0,50.0,170.0,,120.0,,,330.0,,770.0,110.0,70.0,410.0,100.0,260.0,1030.0,,,110.0,,140.0,1140.0,70.0,50.0,,180.0,240.0,50.0,270.0,,12820.0
189,195.0,0.16,11-1021,General and Operations Managers,26930.0,6490.0,43300.0,20680.0,261780.0,41540.0,33280.0,4080.0,26610.0,77340.0,90520.0,1600.0,11070.0,12250.0,121040.0,49210.0,25900.0,19620.0,26190.0,29920.0,12360.0,47850.0,71880.0,58040.0,41480.0,24110.0,41440.0,4490.0,14420.0,17480.0,11030.0,44800.0,15550.0,162870.0,53770.0,7010.0,64710.0,27400.0,32350.0,70430.0,6010.0,6640.0,31780.0,3730.0,44400.0,168610.0,36200.0,2760.0,1790.0,52380.0,43760.0,10200.0,32350.0,4840.0,2198270.0
190,196.0,0.17,29-9011,Occupational Health and Safety Specialists,1050.0,520.0,1200.0,500.0,6260.0,1550.0,660.0,370.0,410.0,2230.0,1110.0,110.0,460.0,340.0,2070.0,2140.0,670.0,780.0,1650.0,1290.0,250.0,1250.0,1170.0,1670.0,1590.0,490.0,1560.0,510.0,640.0,570.0,320.0,2070.0,870.0,3230.0,1790.0,380.0,3790.0,1350.0,860.0,3160.0,690.0,90.0,2150.0,170.0,2140.0,11560.0,720.0,100.0,,2670.0,2160.0,610.0,1110.0,380.0,77440.0
191,197.0,0.17,33-2011,Firefighters,4520.0,780.0,7600.0,2420.0,30040.0,5290.0,3310.0,430.0,,24250.0,12380.0,,1780.0,1770.0,17170.0,7710.0,1640.0,3570.0,3660.0,6490.0,2220.0,4050.0,11910.0,5600.0,5940.0,2700.0,6790.0,460.0,1030.0,1660.0,1710.0,5460.0,1990.0,10490.0,14900.0,430.0,18810.0,3500.0,3200.0,5220.0,1370.0,1710.0,5370.0,520.0,5140.0,27870.0,2570.0,230.0,,9980.0,8090.0,980.0,9570.0,420.0,316700.0
192,198.0,0.17,13-2061,Financial Examiners,1030.0,80.0,,180.0,4300.0,1030.0,560.0,,550.0,2930.0,770.0,,90.0,130.0,2030.0,410.0,930.0,330.0,480.0,230.0,160.0,440.0,1530.0,690.0,1400.0,150.0,1790.0,90.0,240.0,180.0,160.0,2130.0,100.0,5140.0,2190.0,150.0,3330.0,460.0,490.0,1640.0,450.0,360.0,300.0,180.0,620.0,3600.0,400.0,50.0,,1710.0,410.0,100.0,1400.0,,48100.0
193,199.0,0.17,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,10880.0,1350.0,13120.0,4890.0,48610.0,13590.0,4690.0,1820.0,1190.0,41370.0,12460.0,330.0,2490.0,2970.0,11160.0,10140.0,6230.0,5700.0,7270.0,11910.0,2260.0,14770.0,10760.0,11290.0,6070.0,4190.0,7210.0,3020.0,4530.0,4290.0,2390.0,8400.0,5530.0,23520.0,21220.0,3790.0,14730.0,9240.0,5150.0,19910.0,3080.0,1870.0,9570.0,1210.0,9210.0,68270.0,7190.0,1500.0,80.0,18570.0,11450.0,4140.0,8490.0,2640.0,541710.0
194,200.0,0.17,25-2022,"Middle School Teachers, Except Special and Career/Technical  Education",9390.0,1420.0,9910.0,5880.0,47440.0,13240.0,9240.0,1970.0,1440.0,31880.0,27240.0,510.0,1930.0,2760.0,31080.0,9730.0,6270.0,5770.0,8180.0,6600.0,2980.0,11550.0,18610.0,15260.0,10630.0,5780.0,13220.0,2280.0,3720.0,4440.0,3720.0,24470.0,4050.0,40350.0,18820.0,970.0,31180.0,7600.0,5560.0,24520.0,1090.0,1800.0,9070.0,2030.0,10340.0,72080.0,4820.0,1050.0,30.0,16180.0,9950.0,4520.0,12280.0,1100.0,627930.0
195,201.0,0.18,27-3031,Public Relations Specialists,1820.0,470.0,3290.0,790.0,24690.0,4330.0,1450.0,600.0,16540.0,11210.0,4830.0,30.0,1160.0,540.0,5810.0,3110.0,1500.0,2020.0,1530.0,1670.0,1070.0,3430.0,6820.0,5290.0,4460.0,1370.0,5040.0,630.0,1520.0,1170.0,1220.0,4030.0,890.0,25460.0,4960.0,610.0,6430.0,2120.0,2570.0,8860.0,1110.0,1150.0,2040.0,950.0,2220.0,25940.0,1650.0,1020.0,40.0,6920.0,5390.0,290.0,3670.0,390.0,228120.0
196,202.0,0.18,49-9092,Commercial Divers,60.0,100.0,,,180.0,,,,,400.0,,,,,,,,,,750.0,,,,200.0,,,80.0,,,,,80.0,,,,,,,,,,,,,,290.0,,,,170.0,230.0,,,,2540.0
197,203.0,0.18,49-9095,Manufactured Building and Mobile Home Installers,120.0,,,,,,,,,,50.0,,,,,,70.0,,,,70.0,,,,30.0,160.0,150.0,70.0,,,,,,140.0,100.0,,120.0,190.0,,,,,,60.0,90.0,280.0,,,,,50.0,120.0,,,1870.0
198,204.0,0.18,53-2011,"Airline Pilots, Copilots, and Flight Engineers",310.0,2030.0,2910.0,,8290.0,2980.0,,,,4640.0,6750.0,,1030.0,,7350.0,710.0,50.0,,,110.0,30.0,,,,2980.0,200.0,,80.0,,,40.0,,70.0,5830.0,2580.0,,1140.0,,650.0,,90.0,,70.0,,210.0,10590.0,,,,2880.0,2120.0,80.0,60.0,80.0,66940.0
199,205.0,0.19,25-3011,Adult  Basic  and  Secondary  Education  and  Literacy  Teachers  and  In-structors,580.0,40.0,,560.0,7880.0,910.0,500.0,310.0,270.0,2260.0,1420.0,,360.0,340.0,2440.0,520.0,250.0,300.0,550.0,430.0,160.0,900.0,1630.0,1170.0,1270.0,660.0,450.0,280.0,440.0,200.0,170.0,1590.0,520.0,5010.0,3380.0,,2060.0,570.0,560.0,1610.0,140.0,280.0,370.0,320.0,670.0,6370.0,,120.0,,1920.0,2470.0,130.0,640.0,60.0,56040.0
200,206.0,0.2,19-1041,Epidemiologists,40.0,,130.0,40.0,750.0,320.0,120.0,,60.0,40.0,280.0,,,,200.0,100.0,40.0,,50.0,,,340.0,260.0,150.0,210.0,80.0,110.0,,,,,120.0,,230.0,100.0,,190.0,60.0,,110.0,60.0,,,,,410.0,90.0,,,110.0,270.0,70.0,,,5140.0
201,209.0,0.21,15-2011,Actuaries,60.0,,200.0,60.0,1410.0,260.0,850.0,70.0,180.0,580.0,260.0,,,40.0,1590.0,230.0,710.0,490.0,,,130.0,420.0,1100.0,420.0,400.0,50.0,460.0,,290.0,,100.0,810.0,30.0,2410.0,380.0,,990.0,40.0,110.0,1530.0,,190.0,90.0,,80.0,1180.0,140.0,,,200.0,350.0,,660.0,,19550.0
202,210.0,0.21,33-9011,Animal Control Workers,220.0,40.0,200.0,170.0,1650.0,220.0,260.0,,,540.0,440.0,,,60.0,430.0,250.0,60.0,180.0,230.0,270.0,180.0,150.0,430.0,250.0,40.0,190.0,210.0,50.0,,90.0,70.0,300.0,190.0,840.0,550.0,,350.0,310.0,60.0,230.0,,60.0,200.0,50.0,220.0,1490.0,190.0,80.0,,370.0,180.0,90.0,170.0,50.0,12860.0
203,211.0,0.21,39-6012,Concierges,,60.0,930.0,,3620.0,680.0,160.0,,780.0,4760.0,580.0,150.0,800.0,80.0,1150.0,170.0,90.0,80.0,60.0,270.0,,580.0,970.0,460.0,460.0,,640.0,60.0,130.0,1230.0,,750.0,30.0,4040.0,210.0,,310.0,140.0,290.0,580.0,350.0,30.0,240.0,,610.0,2690.0,150.0,,30.0,1930.0,510.0,60.0,240.0,40.0,32180.0
204,213.0,0.22,15-2041,Statisticians,170.0,50.0,810.0,170.0,4120.0,450.0,500.0,120.0,1430.0,830.0,730.0,,,50.0,1270.0,660.0,200.0,230.0,90.0,50.0,100.0,3000.0,2640.0,660.0,890.0,60.0,890.0,40.0,200.0,90.0,130.0,700.0,80.0,1040.0,1170.0,70.0,670.0,280.0,560.0,2510.0,220.0,30.0,390.0,,600.0,1590.0,210.0,40.0,,1120.0,1040.0,130.0,470.0,,33550.0
205,214.0,0.22,17-2061,Computer Hardware Engineers,1460.0,70.0,670.0,190.0,25790.0,3700.0,340.0,,420.0,2100.0,1370.0,,180.0,330.0,1430.0,310.0,280.0,430.0,,210.0,,3690.0,2960.0,1470.0,1600.0,290.0,220.0,,400.0,180.0,270.0,690.0,,1640.0,1560.0,,1070.0,150.0,,1190.0,290.0,190.0,310.0,,730.0,3590.0,1330.0,30.0,,1380.0,1810.0,190.0,890.0,,67400.0
206,215.0,0.23,19-3022,Survey Researchers,,,160.0,60.0,1360.0,150.0,200.0,60.0,510.0,450.0,180.0,,160.0,,770.0,380.0,,300.0,80.0,,30.0,880.0,520.0,400.0,120.0,,160.0,,210.0,,,730.0,30.0,610.0,230.0,,130.0,,80.0,960.0,,,60.0,,60.0,570.0,180.0,,,310.0,140.0,,50.0,50.0,11330.0
207,216.0,0.23,13-1199,"Business Operations Specialists, All Other",6870.0,2830.0,12320.0,9220.0,138000.0,40420.0,7870.0,1190.0,31000.0,77000.0,34010.0,280.0,4770.0,2660.0,54880.0,13600.0,10270.0,8330.0,8280.0,17430.0,3430.0,21060.0,11550.0,26280.0,24500.0,3220.0,14710.0,3200.0,4540.0,6220.0,3570.0,44410.0,7240.0,23420.0,34370.0,2550.0,33180.0,4750.0,15260.0,15900.0,6580.0,2160.0,3970.0,730.0,12880.0,67810.0,7710.0,930.0,130.0,30530.0,32530.0,2740.0,11140.0,1220.0,965650.0
208,217.0,0.23,13-2051,Financial Analysts,1420.0,350.0,6380.0,910.0,34100.0,3570.0,6040.0,3570.0,3010.0,10990.0,6900.0,,390.0,420.0,13840.0,2530.0,1850.0,1180.0,1300.0,820.0,420.0,5970.0,13700.0,5800.0,6480.0,530.0,3730.0,160.0,2050.0,770.0,,7960.0,580.0,49050.0,7720.0,280.0,8850.0,1510.0,2380.0,10830.0,1250.0,1070.0,1650.0,500.0,3690.0,23710.0,2170.0,170.0,50.0,,5740.0,370.0,4460.0,90.0,273260.0
209,219.0,0.23,29-2031,Cardiovascular Technologists and Technicians,580.0,80.0,860.0,590.0,4180.0,550.0,340.0,300.0,140.0,4270.0,1740.0,30.0,230.0,340.0,2150.0,1180.0,390.0,370.0,1060.0,900.0,190.0,1330.0,1600.0,2100.0,960.0,510.0,1080.0,140.0,600.0,430.0,180.0,780.0,300.0,3110.0,1240.0,110.0,2320.0,580.0,660.0,2850.0,530.0,,820.0,240.0,1100.0,5160.0,340.0,50.0,,1610.0,960.0,500.0,1330.0,50.0,54040.0
210,220.0,0.24,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",,,140.0,,4990.0,90.0,170.0,,180.0,970.0,190.0,,,,170.0,120.0,,30.0,30.0,,,200.0,210.0,250.0,180.0,,,,,120.0,,200.0,,3050.0,280.0,,90.0,,70.0,140.0,,,,,530.0,330.0,,,,130.0,,,70.0,,12930.0
211,221.0,0.24,17-3029,"Engineering Technicians, Except Drafters, All Other",830.0,290.0,1500.0,440.0,9690.0,1550.0,580.0,,310.0,2100.0,1430.0,80.0,580.0,160.0,4650.0,1590.0,830.0,,700.0,1770.0,800.0,1700.0,1960.0,2300.0,1530.0,480.0,720.0,150.0,300.0,370.0,390.0,920.0,2120.0,2030.0,840.0,270.0,3260.0,1060.0,1110.0,5120.0,180.0,160.0,540.0,80.0,1170.0,7050.0,1080.0,30.0,,3250.0,2170.0,240.0,1080.0,310.0,73850.0
212,222.0,0.25,19-3092,Geographers,,,40.0,,110.0,60.0,,,,,50.0,,,,,,,,,,,180.0,,,,,40.0,,,,,,,,,,,,40.0,30.0,,,,,,120.0,,,,70.0,30.0,,,,770.0
213,223.0,0.25,29-9012,Occupational Health and Safety Technicians,100.0,100.0,260.0,180.0,1290.0,210.0,140.0,50.0,50.0,510.0,290.0,50.0,,80.0,590.0,400.0,240.0,130.0,330.0,680.0,50.0,230.0,170.0,230.0,200.0,200.0,410.0,80.0,130.0,150.0,,230.0,80.0,730.0,290.0,140.0,790.0,210.0,110.0,750.0,40.0,50.0,360.0,,550.0,3150.0,170.0,,,390.0,470.0,110.0,260.0,70.0,16480.0
214,224.0,0.25,21-1092,Probation Officers and Correctional Treatment Specialists,1090.0,300.0,1980.0,900.0,11760.0,2390.0,,,,4420.0,2510.0,,50.0,630.0,2190.0,1850.0,610.0,720.0,,1050.0,350.0,1770.0,1050.0,2630.0,1380.0,520.0,2350.0,360.0,520.0,860.0,210.0,2740.0,780.0,4450.0,2890.0,170.0,2920.0,1250.0,1590.0,4310.0,,,440.0,430.0,1800.0,8070.0,650.0,200.0,,2880.0,2110.0,840.0,1430.0,180.0,84580.0
215,225.0,0.25,17-3025,Environmental Engineering Technicians,210.0,150.0,160.0,180.0,2590.0,340.0,150.0,50.0,,680.0,640.0,,,40.0,420.0,270.0,110.0,90.0,140.0,370.0,70.0,420.0,650.0,250.0,290.0,180.0,300.0,50.0,230.0,110.0,,510.0,120.0,1220.0,290.0,90.0,320.0,370.0,200.0,940.0,180.0,40.0,390.0,,670.0,780.0,230.0,90.0,,410.0,350.0,120.0,160.0,60.0,16680.0
216,226.0,0.25,11-9199,"Managers, All Other",2010.0,1460.0,7170.0,3540.0,44750.0,7550.0,5820.0,870.0,18510.0,15880.0,10900.0,130.0,2110.0,1220.0,,9060.0,3360.0,3380.0,3580.0,6980.0,1090.0,11900.0,6260.0,8140.0,10760.0,990.0,5850.0,1120.0,1820.0,5910.0,2180.0,21280.0,2650.0,14630.0,10630.0,1150.0,10170.0,1700.0,7710.0,9620.0,6780.0,820.0,1620.0,300.0,7570.0,15350.0,2190.0,560.0,60.0,16770.0,9200.0,950.0,10500.0,840.0,357350.0
217,227.0,0.25,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",480.0,,280.0,50.0,1490.0,170.0,100.0,60.0,,160.0,890.0,,,90.0,730.0,150.0,280.0,,60.0,210.0,270.0,180.0,640.0,400.0,,150.0,50.0,60.0,100.0,,,770.0,170.0,1930.0,250.0,390.0,940.0,150.0,70.0,2290.0,270.0,70.0,870.0,,150.0,800.0,110.0,,,290.0,290.0,240.0,200.0,,17300.0
218,228.0,0.25,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",890.0,500.0,6910.0,2840.0,46150.0,5590.0,3970.0,1190.0,500.0,22110.0,9840.0,,990.0,1080.0,12630.0,7560.0,2000.0,2420.0,2830.0,2760.0,620.0,5550.0,18130.0,9070.0,6550.0,820.0,4630.0,380.0,1800.0,1150.0,3260.0,6370.0,1170.0,16220.0,9660.0,1090.0,18710.0,6390.0,3570.0,13030.0,2050.0,530.0,3350.0,1550.0,8600.0,33000.0,4180.0,590.0,,6220.0,4660.0,750.0,3720.0,330.0,330460.0
219,229.0,0.26,25-2023,"Career/Technical Education Teachers, Middle School",70.0,80.0,250.0,90.0,630.0,220.0,200.0,,,380.0,580.0,,,,160.0,200.0,30.0,120.0,,90.0,,,240.0,270.0,110.0,370.0,,,,,,,,1930.0,1210.0,,290.0,240.0,,670.0,,,190.0,50.0,100.0,1370.0,80.0,,,360.0,420.0,,230.0,70.0,11300.0
220,230.0,0.27,53-5021,"Captains, Mates, and Pilots of Water Vessels",220.0,600.0,,,,,200.0,80.0,,4020.0,310.0,,1300.0,,990.0,320.0,70.0,,1500.0,7700.0,170.0,580.0,380.0,220.0,70.0,850.0,,,,,50.0,630.0,,1770.0,270.0,,330.0,,260.0,420.0,,150.0,430.0,,750.0,3080.0,,,130.0,2220.0,2160.0,,160.0,,32390.0
221,231.0,0.27,31-2012,Occupational Therapy Aides,110.0,,130.0,40.0,890.0,70.0,80.0,,60.0,70.0,240.0,,,,1720.0,100.0,50.0,40.0,60.0,180.0,,110.0,310.0,60.0,,,,,60.0,,70.0,50.0,,400.0,110.0,40.0,70.0,120.0,,600.0,,,80.0,,,400.0,130.0,,,170.0,80.0,80.0,50.0,,6830.0
222,232.0,0.27,49-9062,Medical Equipment Repairers,820.0,80.0,640.0,460.0,3740.0,990.0,350.0,90.0,40.0,3930.0,960.0,,60.0,240.0,910.0,1510.0,530.0,440.0,570.0,270.0,150.0,880.0,1080.0,1750.0,1030.0,220.0,1350.0,90.0,270.0,380.0,110.0,,190.0,2150.0,1740.0,210.0,1840.0,460.0,450.0,2460.0,240.0,60.0,460.0,210.0,1070.0,3180.0,650.0,60.0,,940.0,1080.0,300.0,680.0,70.0,42440.0
223,233.0,0.28,41-1011,First-Line Supervisors of Retail Sales Workers,24120.0,2360.0,26250.0,12890.0,117160.0,18540.0,15300.0,4080.0,1580.0,88970.0,36740.0,420.0,6360.0,6090.0,43500.0,26520.0,12700.0,12790.0,16270.0,21600.0,6000.0,26820.0,28010.0,34670.0,21700.0,11860.0,24930.0,5160.0,7820.0,10720.0,7100.0,31440.0,8640.0,63120.0,40660.0,4040.0,42030.0,17480.0,14330.0,41690.0,11170.0,4010.0,22830.0,2970.0,30190.0,98400.0,9700.0,2600.0,540.0,32530.0,22040.0,8080.0,16110.0,2770.0,1206400.0
224,234.0,0.28,27-2021,Athletes and Sports Competitors,,,320.0,,940.0,480.0,410.0,,,1340.0,,,,,470.0,360.0,130.0,,100.0,,,140.0,450.0,170.0,170.0,60.0,,,,160.0,,160.0,,,310.0,,90.0,120.0,100.0,590.0,,,220.0,,240.0,210.0,180.0,,,170.0,180.0,,200.0,,8470.0
225,235.0,0.28,39-1011,Gaming Supervisors,100.0,40.0,320.0,40.0,1680.0,300.0,,120.0,,490.0,,,,,500.0,620.0,730.0,190.0,,730.0,,,,1070.0,480.0,980.0,440.0,,30.0,5750.0,,1280.0,270.0,370.0,310.0,160.0,170.0,1050.0,140.0,980.0,170.0,,40.0,50.0,40.0,50.0,,,,,680.0,130.0,170.0,,20670.0
226,236.0,0.29,39-5094,Skincare Specialists,340.0,,1500.0,110.0,5930.0,1330.0,650.0,,,2860.0,1340.0,,270.0,70.0,2180.0,810.0,190.0,230.0,380.0,270.0,80.0,660.0,1020.0,1010.0,710.0,210.0,470.0,,260.0,540.0,360.0,2110.0,130.0,3950.0,980.0,70.0,1440.0,60.0,740.0,1230.0,560.0,110.0,440.0,,800.0,4410.0,670.0,120.0,,910.0,870.0,,690.0,,44070.0
227,237.0,0.29,13-1022,"Wholesale and Retail Buyers, Except Farm Products",310.0,340.0,1850.0,3080.0,18330.0,1500.0,1150.0,240.0,160.0,3830.0,2630.0,90.0,630.0,560.0,4010.0,1610.0,680.0,1690.0,830.0,910.0,840.0,1390.0,3550.0,2060.0,3650.0,530.0,3130.0,320.0,860.0,700.0,480.0,2120.0,210.0,8130.0,2780.0,260.0,4340.0,1300.0,2410.0,3040.0,1220.0,310.0,600.0,200.0,3260.0,9290.0,1310.0,400.0,,,3460.0,250.0,2460.0,140.0,109430.0
228,238.0,0.3,19-4021,Biological Technicians,340.0,420.0,1180.0,260.0,12890.0,2860.0,1130.0,110.0,,2060.0,1200.0,80.0,610.0,810.0,1150.0,1430.0,1090.0,690.0,680.0,200.0,530.0,3520.0,5470.0,1110.0,990.0,390.0,1210.0,410.0,370.0,320.0,570.0,1320.0,320.0,3440.0,2260.0,,2930.0,1090.0,2730.0,3990.0,530.0,100.0,580.0,210.0,660.0,3760.0,710.0,110.0,,1790.0,2760.0,190.0,1050.0,250.0,74860.0
