Area Name,Occupational Code,Occupational Title,Estimated Employment,Pay Type,Mean Wage,Entry Wage,Experienced Wage,10th Percentile Wage,25th Percentile Wage,Median Wage,75th Percentile Wage,90th Percentile Wage
IWD Region 11 (Des Moines Area),25-1199,"Postsecondary Teachers, All Other",300,Annual wage or salary,$61189.00,$29337.00,$77114.00,$18647.00,$41245.00,$50658.00,$79970.00,$116031.00
IWD Region 11 (Des Moines Area),25-1199,"Postsecondary Teachers, All Other",300,Hourly wage,,,,,,,,
IWD Region 10 (Cedar Rapids-Iowa City Area),25-1199,"Postsecondary Teachers, All Other",1220,Annual wage or salary,$80791.00,$25338.00,$108518.00,$22178.00,$29081.00,$47579.00,$126414.00,$165825.00
IWD Region 10 (Cedar Rapids-Iowa City Area),25-1199,"Postsecondary Teachers, All Other",1220,Hourly wage,,,,,,,,
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",25-2011,"Preschool Teachers, Except Special Education",170,Annual wage or salary,$29041.00,$21384.00,$32869.00,$20337.00,$21900.00,$24505.00,$30663.00,$43652.00
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",25-2011,"Preschool Teachers, Except Special Education",170,Hourly wage,$13.96,$10.28,$15.80,$9.78,$10.53,$11.78,$14.74,$20.99
"Des Moines, IA Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",1140,Annual wage or salary,$24381.00,$19334.00,$26905.00,$17645.00,$20527.00,$23018.00,$25971.00,$31377.00
"Des Moines, IA Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",1140,Hourly wage,$11.72,$9.30,$12.94,$8.48,$9.87,$11.07,$12.49,$15.09
"Ames, IA Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",130,Annual wage or salary,$31564.00,$22008.00,$36342.00,$21122.00,$23472.00,$28706.00,$38219.00,$48202.00
"Ames, IA Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",130,Hourly wage,$15.18,$10.58,$17.47,$10.15,$11.28,$13.80,$18.37,$23.17
"Cedar Rapids, IA Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",340,Annual wage or salary,$30745.00,$18949.00,$36643.00,$17585.00,$20478.00,$25128.00,$37928.00,$54488.00
"Cedar Rapids, IA Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",340,Hourly wage,$14.78,$9.11,$17.62,$8.45,$9.85,$12.08,$18.23,$26.20
Iowa,25-2011,"Preschool Teachers, Except Special Education",3830,Annual wage or salary,$26951.00,$18800.00,$31026.00,$17364.00,$20199.00,$23765.00,$30684.00,$41193.00
Iowa,25-2011,"Preschool Teachers, Except Special Education",3830,Hourly wage,$12.96,$9.04,$14.92,$8.35,$9.71,$11.43,$14.75,$19.80
Southeast Iowa,25-2011,"Preschool Teachers, Except Special Education",360,Annual wage or salary,$31416.00,$19041.00,$37603.00,$17616.00,$21100.00,$29036.00,$39282.00,$51115.00
Southeast Iowa,25-2011,"Preschool Teachers, Except Special Education",360,Hourly wage,$15.10,$9.15,$18.08,$8.47,$10.14,$13.96,$18.89,$24.57
Northeast Iowa,25-2011,"Preschool Teachers, Except Special Education",250,Annual wage or salary,$22382.00,$17005.00,$25070.00,$16077.00,$17245.00,$19192.00,$24181.00,$35421.00
Southwest Iowa,25-2011,"Preschool Teachers, Except Special Education",,Annual wage or salary,$25799.00,$17356.00,$30021.00,$16861.00,$18723.00,$22524.00,$27704.00,$38518.00
Southwest Iowa,25-2011,"Preschool Teachers, Except Special Education",,Hourly wage,$12.40,$8.34,$14.43,$8.11,$9.00,$10.83,$13.32,$18.52
Northwest Iowa,25-2011,"Preschool Teachers, Except Special Education",340,Annual wage or salary,$31943.00,$19312.00,$38259.00,$17546.00,$21680.00,$28800.00,$37755.00,$51710.00
Northwest Iowa,25-2011,"Preschool Teachers, Except Special Education",340,Hourly wage,$15.36,$9.28,$18.39,$8.44,$10.42,$13.85,$18.15,$24.86
"Sioux City, IA-NE-SD Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",140,Annual wage or salary,$26049.00,$18289.00,$29929.00,$17260.00,$19628.00,$23762.00,$33388.00,$37800.00
"Sioux City, IA-NE-SD Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",140,Hourly wage,$12.52,$8.79,$14.39,$8.30,$9.44,$11.42,$16.05,$18.17
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",190,Annual wage or salary,$25189.00,$17721.00,$28923.00,$16977.00,$19134.00,$22908.00,$29148.00,$38123.00
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",190,Hourly wage,$12.11,$8.52,$13.91,$8.16,$9.20,$11.01,$14.01,$18.33
"Dubuque, IA Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",130,Annual wage or salary,$28564.00,$20668.00,$32513.00,$19345.00,$23165.00,$27870.00,$32005.00,$39144.00
"Dubuque, IA Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",130,Hourly wage,$13.73,$9.94,$15.63,$9.30,$11.14,$13.40,$15.39,$18.82
"Iowa City, IA Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",340,Annual wage or salary,$24342.00,$18519.00,$27253.00,$17169.00,$19622.00,$22250.00,$26737.00,$36734.00
"Iowa City, IA Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",340,Hourly wage,$11.70,$8.90,$13.10,$8.25,$9.43,$10.70,$12.85,$17.66
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",,Annual wage or salary,$25268.00,$20853.00,$27475.00,$19828.00,$21279.00,$23627.00,$28042.00,$34693.00
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",25-2011,"Preschool Teachers, Except Special Education",,Hourly wage,$12.15,$10.03,$13.21,$9.53,$10.23,$11.36,$13.48,$16.68
IWD Region 08 (Carroll Area),25-2011,"Preschool Teachers, Except Special Education",60,Annual wage or salary,$37373.00,$19044.00,$46538.00,$17506.00,$20876.00,$30554.00,$49967.00,$65903.00
IWD Region 08 (Carroll Area),25-2011,"Preschool Teachers, Except Special Education",60,Hourly wage,$17.97,$9.16,$22.37,$8.42,$10.04,$14.69,$24.02,$31.68
IWD Region 09 (Davenport Area),25-2011,"Preschool Teachers, Except Special Education",230,Annual wage or salary,$28447.00,$20849.00,$32246.00,$19666.00,$21603.00,$24319.00,$30592.00,$40404.00
IWD Region 09 (Davenport Area),25-2011,"Preschool Teachers, Except Special Education",230,Hourly wage,$13.68,$10.02,$15.50,$9.45,$10.39,$11.69,$14.71,$19.43
IWD Region 3/4 (Spencer Area),25-2011,"Preschool Teachers, Except Special Education",,Annual wage or salary,$29252.00,$19431.00,$34163.00,$17654.00,$21565.00,$27653.00,$33901.00,$40066.00
IWD Region 3/4 (Spencer Area),25-2011,"Preschool Teachers, Except Special Education",,Hourly wage,$14.06,$9.34,$16.42,$8.49,$10.37,$13.29,$16.30,$19.26
IWD Region 06 (Marshalltown Area),25-2011,"Preschool Teachers, Except Special Education",30,Annual wage or salary,$41735.00,$26457.00,$49374.00,$20056.00,$33019.00,$43838.00,$52303.00,$58820.00
IWD Region 06 (Marshalltown Area),25-2011,"Preschool Teachers, Except Special Education",30,Hourly wage,$20.07,$12.72,$23.74,$9.64,$15.87,$21.08,$25.15,$28.28
IWD Region 05 (Ft Dodge-Webster City Area),25-2011,"Preschool Teachers, Except Special Education",,Annual wage or salary,$45672.00,$16971.00,$60023.00,$16448.00,$18246.00,$49824.00,$66696.00,$75803.00
IWD Region 05 (Ft Dodge-Webster City Area),25-2011,"Preschool Teachers, Except Special Education",,Hourly wage,$21.96,$8.16,$28.86,$7.91,$8.77,$23.95,$32.07,$36.44
IWD Region 07 (Waterloo Area),25-2011,"Preschool Teachers, Except Special Education",190,Annual wage or salary,$25207.00,$17749.00,$28935.00,$16986.00,$19157.00,$22962.00,$29165.00,$38061.00
IWD Region 07 (Waterloo Area),25-2011,"Preschool Teachers, Except Special Education",190,Hourly wage,$12.12,$8.53,$13.91,$8.17,$9.21,$11.04,$14.02,$18.30
IWD Region 01 (Dubuque-Decorah Area),25-2011,"Preschool Teachers, Except Special Education",340,Annual wage or salary,$23566.00,$17010.00,$26844.00,$16280.00,$17741.00,$20991.00,$27602.00,$35972.00
IWD Region 01 (Dubuque-Decorah Area),25-2011,"Preschool Teachers, Except Special Education",340,Hourly wage,$11.33,$8.18,$12.91,$7.83,$8.53,$10.09,$13.27,$17.29
IWD Region 02 (Mason City Area),25-2011,"Preschool Teachers, Except Special Education",40,Annual wage or salary,$35135.00,$27143.00,$39131.00,$25842.00,$28399.00,$32866.00,$38095.00,$53597.00
IWD Region 02 (Mason City Area),25-2011,"Preschool Teachers, Except Special Education",40,Hourly wage,$16.89,$13.05,$18.81,$12.42,$13.65,$15.80,$18.32,$25.77
IWD Region 15 (Ottumwa Area),25-2011,"Preschool Teachers, Except Special Education",,Annual wage or salary,$36964.00,$26919.00,$41987.00,$25896.00,$29870.00,$36859.00,$44452.00,$49050.00
IWD Region 15 (Ottumwa Area),25-2011,"Preschool Teachers, Except Special Education",,Hourly wage,$17.77,$12.94,$20.19,$12.45,$14.36,$17.72,$21.37,$23.58
IWD Region 12 (Sioux City Area),25-2011,"Preschool Teachers, Except Special Education",140,Annual wage or salary,$26049.00,$18289.00,$29929.00,$17260.00,$19628.00,$23762.00,$33388.00,$37800.00
IWD Region 12 (Sioux City Area),25-2011,"Preschool Teachers, Except Special Education",140,Hourly wage,$12.52,$8.79,$14.39,$8.30,$9.44,$11.42,$16.05,$18.17
IWD Region 14 (Creston Area),25-2011,"Preschool Teachers, Except Special Education",,Annual wage or salary,$27991.00,$18485.00,$32744.00,$16927.00,$19444.00,$27497.00,$32671.00,$38517.00
IWD Region 14 (Creston Area),25-2011,"Preschool Teachers, Except Special Education",,Hourly wage,$13.46,$8.89,$15.74,$8.14,$9.35,$13.22,$15.71,$18.52
IWD Region 13 (Council Bluffs Area),25-2011,"Preschool Teachers, Except Special Education",,Annual wage or salary,$22027.00,$17683.00,$24200.00,$17124.00,$19114.00,$21664.00,$24153.00,$27433.00
IWD Region 13 (Council Bluffs Area),25-2011,"Preschool Teachers, Except Special Education",,Hourly wage,$10.59,$8.50,$11.63,$8.23,$9.19,$10.42,$11.61,$13.19
IWD Region 11 (Des Moines Area),25-2011,"Preschool Teachers, Except Special Education",1370,Annual wage or salary,$25787.00,$19826.00,$28768.00,$18101.00,$20906.00,$23646.00,$28262.00,$37653.00
IWD Region 11 (Des Moines Area),25-2011,"Preschool Teachers, Except Special Education",1370,Hourly wage,$12.40,$9.53,$13.83,$8.70,$10.05,$11.37,$13.59,$18.10
IWD Region 10 (Cedar Rapids-Iowa City Area),25-2011,"Preschool Teachers, Except Special Education",760,Annual wage or salary,$27249.00,$18347.00,$31700.00,$17200.00,$19609.00,$23191.00,$33437.00,$41544.00
IWD Region 10 (Cedar Rapids-Iowa City Area),25-2011,"Preschool Teachers, Except Special Education",760,Hourly wage,$13.10,$8.82,$15.24,$8.27,$9.43,$11.15,$16.08,$19.97
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",25-2012,"Kindergarten Teachers, Except Special Education",50,Annual wage or salary,$54550.00,$42397.00,$60626.00,$37790.00,$48475.00,$56138.00,$61908.00,$69204.00
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",25-2012,"Kindergarten Teachers, Except Special Education",50,Hourly wage,,,,,,,,
"Des Moines, IA Metropolitan Statistical Area",25-2012,"Kindergarten Teachers, Except Special Education",240,Annual wage or salary,$49165.00,$39160.00,$54167.00,$36006.00,$41967.00,$49597.00,$57789.00,$62376.00
"Des Moines, IA Metropolitan Statistical Area",25-2012,"Kindergarten Teachers, Except Special Education",240,Hourly wage,,,,,,,,
"Cedar Rapids, IA Metropolitan Statistical Area",25-2012,"Kindergarten Teachers, Except Special Education",110,Annual wage or salary,$59909.00,$44188.00,$67770.00,$41102.00,$49914.00,$62411.00,$72271.00,$77775.00
"Cedar Rapids, IA Metropolitan Statistical Area",25-2012,"Kindergarten Teachers, Except Special Education",110,Hourly wage,,,,,,,,
Iowa,25-2012,"Kindergarten Teachers, Except Special Education",980,Annual wage or salary,$50230.00,$36964.00,$56863.00,$33709.00,$40579.00,$50244.00,$59937.00,$68343.00
Iowa,25-2012,"Kindergarten Teachers, Except Special Education",980,Hourly wage,,,,,,,,
Southeast Iowa,25-2012,"Kindergarten Teachers, Except Special Education",200,Annual wage or salary,$48181.00,$33019.00,$55762.00,$31136.00,$35669.00,$46957.00,$60371.00,$70658.00
Southeast Iowa,25-2012,"Kindergarten Teachers, Except Special Education",200,Hourly wage,,,,,,,,
Northeast Iowa,25-2012,"Kindergarten Teachers, Except Special Education",20,Annual wage or salary,$50064.00,$39556.00,$55319.00,$36437.00,$42051.00,$52475.00,$58572.00,$62230.00
Northeast Iowa,25-2012,"Kindergarten Teachers, Except Special Education",20,Hourly wage,,,,,,,,
Southwest Iowa,25-2012,"Kindergarten Teachers, Except Special Education",110,Annual wage or salary,$52201.00,$43946.00,$56328.00,$41655.00,$45462.00,$51707.00,$59055.00,$63641.00
Southwest Iowa,25-2012,"Kindergarten Teachers, Except Special Education",110,Hourly wage,,,,,,,,
Northwest Iowa,25-2012,"Kindergarten Teachers, Except Special Education",90,Annual wage or salary,$49441.00,$37549.00,$55387.00,$34178.00,$40539.00,$47418.00,$58528.00,$70800.00
Northwest Iowa,25-2012,"Kindergarten Teachers, Except Special Education",90,Hourly wage,,,,,,,,
"Dubuque, IA Metropolitan Statistical Area",25-2012,"Kindergarten Teachers, Except Special Education",40,Annual wage or salary,$40359.00,$30738.00,$45169.00,$28221.00,$32296.00,$38752.00,$48043.00,$57162.00
"Dubuque, IA Metropolitan Statistical Area",25-2012,"Kindergarten Teachers, Except Special Education",40,Hourly wage,,,,,,,,
"Iowa City, IA Metropolitan Statistical Area",25-2012,"Kindergarten Teachers, Except Special Education",70,Annual wage or salary,$43865.00,$30987.00,$50304.00,$27985.00,$34138.00,$42663.00,$53954.00,$61219.00
"Iowa City, IA Metropolitan Statistical Area",25-2012,"Kindergarten Teachers, Except Special Education",70,Hourly wage,,,,,,,,
IWD Region 08 (Carroll Area),25-2012,"Kindergarten Teachers, Except Special Education",,Annual wage or salary,$48401.00,$42424.00,$51390.00,$39965.00,$43235.00,$48307.00,$54527.00,$60263.00
IWD Region 08 (Carroll Area),25-2012,"Kindergarten Teachers, Except Special Education",,Hourly wage,,,,,,,,
IWD Region 09 (Davenport Area),25-2012,"Kindergarten Teachers, Except Special Education",60,Annual wage or salary,$50846.00,$34337.00,$59100.00,$30188.00,$39791.00,$54188.00,$60933.00,$67066.00
IWD Region 09 (Davenport Area),25-2012,"Kindergarten Teachers, Except Special Education",60,Hourly wage,,,,,,,,
IWD Region 3/4 (Spencer Area),25-2012,"Kindergarten Teachers, Except Special Education",40,Annual wage or salary,$54630.00,$37367.00,$63261.00,$32592.00,$42275.00,$55670.00,$68370.00,$75933.00
IWD Region 3/4 (Spencer Area),25-2012,"Kindergarten Teachers, Except Special Education",40,Hourly wage,,,,,,,,
IWD Region 01 (Dubuque-Decorah Area),25-2012,"Kindergarten Teachers, Except Special Education",50,Annual wage or salary,$43208.00,$31982.00,$48820.00,$29229.00,$34211.00,$42001.00,$53284.00,$60057.00
IWD Region 01 (Dubuque-Decorah Area),25-2012,"Kindergarten Teachers, Except Special Education",50,Hourly wage,,,,,,,,
IWD Region 15 (Ottumwa Area),25-2012,"Kindergarten Teachers, Except Special Education",,Annual wage or salary,$44974.00,$32858.00,$51032.00,$30930.00,$34451.00,$44640.00,$56448.00,$60747.00
IWD Region 15 (Ottumwa Area),25-2012,"Kindergarten Teachers, Except Special Education",,Hourly wage,,,,,,,,
IWD Region 16 (Burlington-Ft Madison Area),25-2012,"Kindergarten Teachers, Except Special Education",40,Annual wage or salary,$51039.00,$35968.00,$58574.00,$33885.00,$36717.00,$52857.00,$63090.00,$74946.00
IWD Region 16 (Burlington-Ft Madison Area),25-2012,"Kindergarten Teachers, Except Special Education",40,Hourly wage,,,,,,,,
IWD Region 11 (Des Moines Area),25-2012,"Kindergarten Teachers, Except Special Education",290,Annual wage or salary,$48868.00,$39138.00,$53733.00,$35940.00,$41759.00,$49149.00,$57425.00,$62153.00
IWD Region 11 (Des Moines Area),25-2012,"Kindergarten Teachers, Except Special Education",290,Hourly wage,,,,,,,,
IWD Region 10 (Cedar Rapids-Iowa City Area),25-2012,"Kindergarten Teachers, Except Special Education",200,Annual wage or salary,$51630.00,$34104.00,$60393.00,$30587.00,$38561.00,$51285.00,$65048.00,$75027.00
IWD Region 10 (Cedar Rapids-Iowa City Area),25-2012,"Kindergarten Teachers, Except Special Education",200,Hourly wage,,,,,,,,
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",25-2021,"Elementary School Teachers, Except Special Education",1070,Annual wage or salary,$56993.00,$41457.00,$64761.00,$39836.00,$47064.00,$57385.00,$68293.00,$76475.00
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",25-2021,"Elementary School Teachers, Except Special Education",1070,Hourly wage,,,,,,,,
"Des Moines, IA Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",3670,Annual wage or salary,$56688.00,$40124.00,$64970.00,$37233.00,$45422.00,$55555.00,$66209.00,$80214.00
"Des Moines, IA Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",3670,Hourly wage,,,,,,,,
"Ames, IA Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",280,Annual wage or salary,$52682.00,$39249.00,$59398.00,$36124.00,$44866.00,$54076.00,$61508.00,$69526.00
"Ames, IA Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",280,Hourly wage,,,,,,,,
"Cedar Rapids, IA Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",1440,Annual wage or salary,$55825.00,$39463.00,$64006.00,$36200.00,$43986.00,$55259.00,$67804.00,$77560.00
"Cedar Rapids, IA Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",1440,Hourly wage,,,,,,,,
Iowa,25-2021,"Elementary School Teachers, Except Special Education",17190,Annual wage or salary,$53030.00,$37888.00,$60601.00,$34113.00,$42579.00,$52567.00,$62860.00,$74837.00
Iowa,25-2021,"Elementary School Teachers, Except Special Education",17190,Hourly wage,,,,,,,,
Southeast Iowa,25-2021,"Elementary School Teachers, Except Special Education",2580,Annual wage or salary,$51688.00,$38366.00,$58350.00,$34884.00,$42638.00,$52623.00,$60918.00,$69307.00
Southeast Iowa,25-2021,"Elementary School Teachers, Except Special Education",2580,Hourly wage,,,,,,,,
Northeast Iowa,25-2021,"Elementary School Teachers, Except Special Education",1580,Annual wage or salary,$47790.00,$33090.00,$55140.00,$31031.00,$37460.00,$46658.00,$58191.00,$69511.00
Northeast Iowa,25-2021,"Elementary School Teachers, Except Special Education",1580,Hourly wage,,,,,,,,
Southwest Iowa,25-2021,"Elementary School Teachers, Except Special Education",1520,Annual wage or salary,$51739.00,$38669.00,$58273.00,$35505.00,$42640.00,$51418.00,$60439.00,$70771.00
Southwest Iowa,25-2021,"Elementary School Teachers, Except Special Education",1520,Hourly wage,,,,,,,,
Northwest Iowa,25-2021,"Elementary School Teachers, Except Special Education",1730,Annual wage or salary,$48969.00,$33929.00,$56490.00,$29327.00,$39685.00,$49212.00,$59701.00,$68867.00
Northwest Iowa,25-2021,"Elementary School Teachers, Except Special Education",1730,Hourly wage,,,,,,,,
"Sioux City, IA-NE-SD Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",420,Annual wage or salary,$62259.00,$44392.00,$71193.00,$41412.00,$49381.00,$66084.00,$74435.00,$79446.00
"Sioux City, IA-NE-SD Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",420,Hourly wage,,,,,,,,
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",1070,Annual wage or salary,$54053.00,$37924.00,$62117.00,$34569.00,$43169.00,$53368.00,$64593.00,$76892.00
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",1070,Hourly wage,,,,,,,,
"Dubuque, IA Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",400,Annual wage or salary,$45282.00,$32489.00,$51679.00,$30450.00,$36035.00,$44172.00,$53463.00,$62951.00
"Dubuque, IA Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",400,Hourly wage,,,,,,,,
"Iowa City, IA Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",880,Annual wage or salary,$54008.00,$38326.00,$61849.00,$34508.00,$42766.00,$53455.00,$63726.00,$76525.00
"Iowa City, IA Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",880,Hourly wage,,,,,,,,
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",560,Annual wage or salary,$46493.00,$33870.00,$52804.00,$31426.00,$37543.00,$46416.00,$55742.00,$62209.00
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",25-2021,"Elementary School Teachers, Except Special Education",560,Hourly wage,,,,,,,,
IWD Region 08 (Carroll Area),25-2021,"Elementary School Teachers, Except Special Education",,Annual wage or salary,$46227.00,$34805.00,$51938.00,$32607.00,$39967.00,$47048.00,$55369.00,$61413.00
IWD Region 08 (Carroll Area),25-2021,"Elementary School Teachers, Except Special Education",,Hourly wage,,,,,,,,
IWD Region 09 (Davenport Area),25-2021,"Elementary School Teachers, Except Special Education",1400,Annual wage or salary,$55129.00,$39714.00,$62837.00,$36868.00,$45240.00,$55665.00,$65444.00,$75266.00
IWD Region 09 (Davenport Area),25-2021,"Elementary School Teachers, Except Special Education",1400,Hourly wage,,,,,,,,
IWD Region 3/4 (Spencer Area),25-2021,"Elementary School Teachers, Except Special Education",690,Annual wage or salary,$46300.00,$30043.00,$54429.00,$27282.00,$34774.00,$46794.00,$57638.00,$64726.00
IWD Region 3/4 (Spencer Area),25-2021,"Elementary School Teachers, Except Special Education",690,Hourly wage,,,,,,,,
IWD Region 06 (Marshalltown Area),25-2021,"Elementary School Teachers, Except Special Education",,Annual wage or salary,$51773.00,$39384.00,$57968.00,$36208.00,$43081.00,$51589.00,$60467.00,$70676.00
IWD Region 06 (Marshalltown Area),25-2021,"Elementary School Teachers, Except Special Education",,Hourly wage,,,,,,,,
IWD Region 05 (Ft Dodge-Webster City Area),25-2021,"Elementary School Teachers, Except Special Education",690,Annual wage or salary,$53529.00,$37174.00,$61707.00,$32771.00,$43576.00,$54899.00,$64321.00,$74050.00
IWD Region 05 (Ft Dodge-Webster City Area),25-2021,"Elementary School Teachers, Except Special Education",690,Hourly wage,,,,,,,,
IWD Region 07 (Waterloo Area),25-2021,"Elementary School Teachers, Except Special Education",1610,Annual wage or salary,$51313.00,$35309.00,$59316.00,$32304.00,$40223.00,$49836.00,$62491.00,$74758.00
IWD Region 07 (Waterloo Area),25-2021,"Elementary School Teachers, Except Special Education",1610,Hourly wage,,,,,,,,
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",25-2052,"Special Education Teachers, Kindergarten and Elementary School",70,Hourly wage,,,,,,,,
IWD Region 01 (Dubuque-Decorah Area),25-2021,"Elementary School Teachers, Except Special Education",1110,Annual wage or salary,$45257.00,$32374.00,$51698.00,$30232.00,$36326.00,$44726.00,$53203.00,$62587.00
IWD Region 01 (Dubuque-Decorah Area),25-2021,"Elementary School Teachers, Except Special Education",1110,Hourly wage,,,,,,,,
IWD Region 02 (Mason City Area),25-2021,"Elementary School Teachers, Except Special Education",400,Annual wage or salary,$54902.00,$39719.00,$62493.00,$36920.00,$44595.00,$55101.00,$66650.00,$75397.00
IWD Region 02 (Mason City Area),25-2021,"Elementary School Teachers, Except Special Education",400,Hourly wage,,,,,,,,
IWD Region 15 (Ottumwa Area),25-2021,"Elementary School Teachers, Except Special Education",710,Annual wage or salary,$51978.00,$35561.00,$60186.00,$32870.00,$40978.00,$52952.00,$63061.00,$73920.00
IWD Region 15 (Ottumwa Area),25-2021,"Elementary School Teachers, Except Special Education",710,Hourly wage,,,,,,,,
IWD Region 16 (Burlington-Ft Madison Area),25-2021,"Elementary School Teachers, Except Special Education",420,Annual wage or salary,$54148.00,$40679.00,$60882.00,$37301.00,$45359.00,$54901.00,$63014.00,$72954.00
IWD Region 16 (Burlington-Ft Madison Area),25-2021,"Elementary School Teachers, Except Special Education",420,Hourly wage,,,,,,,,
IWD Region 12 (Sioux City Area),25-2021,"Elementary School Teachers, Except Special Education",570,Annual wage or salary,$56691.00,$39646.00,$65213.00,$36667.00,$43376.00,$55431.00,$71522.00,$78281.00
IWD Region 12 (Sioux City Area),25-2021,"Elementary School Teachers, Except Special Education",570,Hourly wage,,,,,,,,
IWD Region 14 (Creston Area),25-2021,"Elementary School Teachers, Except Special Education",420,Annual wage or salary,$52340.00,$39569.00,$58726.00,$35816.00,$42678.00,$51147.00,$61266.00,$72537.00
IWD Region 14 (Creston Area),25-2021,"Elementary School Teachers, Except Special Education",420,Hourly wage,,,,,,,,
IWD Region 13 (Council Bluffs Area),25-2021,"Elementary School Teachers, Except Special Education",1210,Annual wage or salary,$50209.00,$38416.00,$56105.00,$34655.00,$41838.00,$50232.00,$58482.00,$64111.00
IWD Region 13 (Council Bluffs Area),25-2021,"Elementary School Teachers, Except Special Education",1210,Hourly wage,,,,,,,,
IWD Region 11 (Des Moines Area),25-2021,"Elementary School Teachers, Except Special Education",4380,Annual wage or salary,$56008.00,$39918.00,$64052.00,$36824.00,$45231.00,$55247.00,$64766.00,$78706.00
IWD Region 11 (Des Moines Area),25-2021,"Elementary School Teachers, Except Special Education",4380,Hourly wage,,,,,,,,
IWD Region 10 (Cedar Rapids-Iowa City Area),25-2021,"Elementary School Teachers, Except Special Education",2620,Annual wage or salary,$54747.00,$39243.00,$62500.00,$35736.00,$43560.00,$54172.00,$65009.00,$76566.00
IWD Region 10 (Cedar Rapids-Iowa City Area),25-2021,"Elementary School Teachers, Except Special Education",2620,Hourly wage,,,,,,,,
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",,Annual wage or salary,$59016.00,$44516.00,$66266.00,$41588.00,$50683.00,$58407.00,$68597.00,$79856.00
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",,Hourly wage,,,,,,,,
"Des Moines, IA Metropolitan Statistical Area",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1430,Annual wage or salary,$59800.00,$40852.00,$69274.00,$39301.00,$48533.00,$59856.00,$72874.00,$82765.00
"Des Moines, IA Metropolitan Statistical Area",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1430,Hourly wage,,,,,,,,
"Ames, IA Metropolitan Statistical Area",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",260,Annual wage or salary,$56494.00,$41169.00,$64156.00,$40257.00,$46868.00,$56349.00,$66853.00,$76446.00
"Ames, IA Metropolitan Statistical Area",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",260,Hourly wage,,,,,,,,
"Cedar Rapids, IA Metropolitan Statistical Area",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",360,Annual wage or salary,$54439.00,$38587.00,$62365.00,$35121.00,$43423.00,$54926.00,$64673.00,$75620.00
